Left-side Question prompt,Nurses' Note,Vital Signs,Orders,Right-side Question Prompt,Question instruction,Medication,Drug Classification,Client Teaching,Correct Answer,Explanation,Difficulty level,Avg. Peers Score,Time taken,Subject,Lesson,Client need area,Client need topic,Question type,Additional Info,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Question Template
The following scenario applies to the next 1 items,"1000: Client presents with complaints of severe joint pain, swelling, and redness in the left big toe. He has a history of gout and is on allopurinol. Upon assessment, the left big toe is swollen, warm, and tender to touch.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 98% on room air,"Uric acid level stat CBC, BMP Allopurinol 300 mg PO daily Colchicine 0.6 mg PO every 6 hours PRN pain",The nurse prepares to administer allopurinol as prescribed.,Select the appropriate nursing interventions and considerations for administering allopurinol.,1. Sumatriptan; 2. Ondansetron; 3. MRI;,"1a) Antimigraine
1b) Analgesic
1c) Antiemetic
2a) Antiemetic
2b) Antihistamine
2c) Analgesic
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). This medication may cause dizziness and headaches.
1b). Take this medication at the same time each day.
1c). Avoid operating heavy machinery while taking this medication.
2a). This medication may cause drowsiness.
2b). Rinse your mouth after using the inhaler to prevent irritation.
2c). Complete the full course of antibiotics even if you feel better.
3a). Do not take this medication with alcohol.
3b). Contact your healthcare provider if you experience a persistent, painful erection.
3c). Take this medication two hours before bedtime.","1b). Take this medication at the same time each day.
2b). Rinse your mouth after using the inhaler to prevent irritation.
3a). Do not take this medication with alcohol.","Allopurinol is a xanthine oxidase inhibitor used to prevent gout attacks by reducing the production of uric acid. The nurse must monitor the client for signs of rash, assess for relief of joint pain and swelling, and instruct the client to take the medication with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Gout Management,Physiological Integrity,Pain Relief,Multiple Choice,,"Nurses Note: 0900, Client with severe headache and nausea",history of migraines.,"Vital Signs: Blood pressure 130/80, Pulse 90.",Orders: Sumatriptan for migraine relief.,Client Teaching: Report any signs of chest pain.,close_drop_down_2
The following scenario applies to the next 1 items,"0830: Client reports fever, chills, and productive cough with yellow-green sputum for the past three days. He has a history of chronic obstructive pulmonary disease (COPD). Upon assessment, the client appears flushed with increased work of breathing.",Oral temperature 101.3° F (38.5° C) Pulse 96/minute Respirations 24/minute Blood pressure 130/80 Pulse oximetry reading 90% on room air,Chest X-ray stat Sputum culture and sensitivity IV fluids: 0.9% Normal Saline at 125 mL/hr Levofloxacin 500 mg IV daily Albuterol nebulizer every 4 hours PRN wheezing,The nurse prepares to administer levofloxacin as prescribed.,Select the appropriate nursing interventions and considerations for administering levofloxacin.,1. Allopurinol; 2. Colchicine; 3. Uric Acid Level;,"1a) Antigout
1b) Analgesic
1c) Anti-inflammatory
2a) Antigout
2b) Analgesic
2c) Anti-inflammatory
3a) Diagnostic test
3b) Monitoring tool
3c) Screening test","1a). This medication may cause dizziness.
1b). You may experience frequent urination.
1c). You will need to reduce the amount of potassium in your diet.
2a). You should notice mood improvement within 5 to 7 days.
2b). You may notice an increase in libido.
2c). Diarrhea is a common side effect of this medication.
3a). Do not take this medication with alcohol.
3b). See emergency care for a persistent, painful erection.
3c). Take this medication two hours before bedtime.","1b). You may experience frequent urination.
2a). You should notice mood improvement within 5 to 7 days.
3a). Do not take this medication with alcohol.","Levofloxacin is a fluoroquinolone antibiotic used to treat bacterial infections by inhibiting DNA gyrase and topoisomerase IV. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for relief of symptoms, and instruct the client to report any signs of tendon pain or inflammation, as fluoroquinolones can cause tendonitis and tendon rupture.",Medium,4/6,5 mins,Respiratory,COPD Exacerbation,Physiological Integrity,Infection Control,Multiple Choice,,"Nurses Note: 1000, Client with severe joint pain and swelling",history of gout.,"Vital Signs: Blood pressure 130/80, Pulse 84.",Orders: Allopurinol for gout prevention.,Client Teaching: Take with food to reduce gastric irritation.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client presents with complaints of severe headache, stiff neck, and sensitivity to light. He has a history of migraines. Upon assessment, the client appears in distress with photophobia and nuchal rigidity.",Oral temperature 100.2° F (37.9° C) Pulse 90/minute Respirations 18/minute Blood pressure 130/80 Pulse oximetry reading 96% on room air,"Lumbar puncture stat CBC, BMP IV fluids: 0.9% Normal Saline at 125 mL/hr Sumatriptan 6 mg subcut once Acetaminophen 650 mg PO every 6 hours PRN pain",The nurse prepares to administer acetaminophen as prescribed.,Select the appropriate nursing interventions and considerations for administering acetaminophen.,1. Levofloxacin; 2. Albuterol; 3. IV Fluids;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Bronchodilator
2b) Corticosteroid
2c) Antihistamine
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). This medication may cause rapid heart rate.
1b). Rinse your mouth after use.
1c). Take this medication in the evening.
2a). This medication may cause nervousness.
2b). Monitor for signs of oral thrush.
2c). Report any mood changes to your provider.
3a). Monitor for respiratory depression.
3b). Ensure the client is not allergic to opioids.
3c). Assess pain relief after administration.","1b). Rinse your mouth after use.
2c). Report any mood changes to your provider.
3c). Assess pain relief after administration.","Acetaminophen is an analgesic used to manage pain and reduce fever by inhibiting the synthesis of prostaglandins in the central nervous system. The nurse must monitor the client for signs of liver toxicity, such as jaundice and elevated liver enzymes, and assess for relief of pain and fever. The client should be instructed not to exceed the recommended daily dose to prevent liver damage.",Medium,3/6,4 mins,Neurological,Meningitis Management,Safe and Effective Care Environment,Pain and Fever Relief,Multiple Choice,,"Nurses Note: 0830, Client with fever and productive cough",history of COPD.,"Vital Signs: Blood pressure 130/80, Pulse 96.",Orders: Levofloxacin for bacterial infection.,Client Teaching: Report any signs of tendon pain.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client reports severe pain and swelling in the left wrist after a fall. He denies any previous injuries to the wrist. Upon assessment, the left wrist is swollen, tender, and has limited range of motion.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 16/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,X-ray of the left wrist stat Acetaminophen 650 mg PO every 6 hours PRN pain Ibuprofen 400 mg PO every 6 hours PRN swelling,The nurse prepares to administer ibuprofen as prescribed.,Select the appropriate nursing interventions and considerations for administering ibuprofen.,1. Acetaminophen; 2. Sumatriptan; 3. IV Fluids;,"1a) Analgesic
1b) Antipyretic
1c) NSAID
2a) Antimigraine
2b) Analgesic
2c) Antiemetic
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor heart rate and blood pressure before administration.
1b). Instruct the client to rise slowly from a sitting or lying position.
1c). Assess for signs of heart failure.
2a). Monitor for headache and dizziness.
2b). Assess for relief of nausea and vomiting.
2c). Instruct the client to report any signs of irregular heartbeat.
3a). Administer within 15 minutes of a meal.
3b). Monitor for signs of hypoglycemia.
3c). Rotate injection sites to prevent lipodystrophy.","1b). Instruct the client to rise slowly from a sitting or lying position.
2a). Monitor for headache and dizziness.
3b). Monitor for signs of hypoglycemia.","Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to manage pain and inflammation by inhibiting prostaglandin synthesis. The nurse must monitor the client for signs of gastrointestinal bleeding, such as tarry stools and abdominal pain, and assess for relief of pain and swelling. Ibuprofen should be taken with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Pain and Swelling Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 0730, Client with severe headache and photophobia",history of migraines.,"Vital Signs: Blood pressure 130/80, Pulse 90.",Orders: Acetaminophen for pain management.,Client Teaching: Do not exceed the recommended daily dose.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client presents with complaints of severe pain and swelling in the right ankle after a sports injury. He denies any previous injuries to the ankle. Upon assessment, the right ankle is swollen, tender, and has limited range of motion.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 16/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,"X-ray of the right ankle stat CBC, BMP Acetaminophen 650 mg PO every 6 hours PRN pain Naproxen 500 mg PO BID PRN swelling",The nurse prepares to administer naproxen as prescribed.,Select the appropriate nursing interventions and considerations for administering naproxen.,1. Ibuprofen; 2. Acetaminophen; 3. X-ray;,"1a) NSAID
1b) Opioid analgesic
1c) Antipyretic
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of electrolyte imbalance.
1b). Assess for decreased edema.
1c). Instruct the client to report any signs of hearing loss.
2a). Monitor heart rate and blood pressure before and after administration.
2b). Instruct the client to rise slowly from a sitting or lying position.
2c). Assess for signs of dizziness or lightheadedness.
3a). Monitor for signs of bleeding.
3b). Assess injection sites for hematoma formation.
3c). Instruct the client to avoid activities that increase the risk of bleeding.","1c). Instruct the client to report any signs of hearing loss.
2a). Monitor heart rate and blood pressure before and after administration.
3b). Assess injection sites for hematoma formation.","Naproxen is a nonsteroidal anti-inflammatory drug (NSAID) used to manage pain and inflammation by inhibiting prostaglandin synthesis. The nurse must monitor the client for signs of gastrointestinal bleeding, such as tarry stools and abdominal pain, and assess for relief of pain and swelling. Naproxen should be taken with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Pain and Swelling Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 0900, Client with severe wrist pain after a fall.","Vital Signs: Blood pressure 120/80, Pulse 84.",Orders: Ibuprofen for pain management.,Client Teaching: Take with food to prevent gastric irritation.,Safety: Monitor for signs of gastrointestinal bleeding.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports severe abdominal pain, bloating, and diarrhea for the past two days. He has a history of irritable bowel syndrome (IBS). Upon assessment, the client appears in mild distress with hyperactive bowel sounds.",Oral temperature 98.5° F (36.9° C) Pulse 88/minute Respirations 18/minute Blood pressure 120/70 Pulse oximetry reading 98% on room air,"CBC, BMP Stool culture Polyethylene glycol 17 grams PO daily Loperamide 2 mg PO after each loose stool",The nurse prepares to administer polyethylene glycol as prescribed.,Select the appropriate nursing interventions and considerations for administering polyethylene glycol.,1. Naproxen; 2. Acetaminophen; 3. X-ray;,"1a) NSAID
1b) Opioid analgesic
1c) Antipyretic
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Imaging technique
3c) Monitoring tool","1a). Monitor for signs of gastrointestinal bleeding.
1b). Assess for relief of pain and swelling.
1c). Instruct the client to take with food to reduce gastric irritation.
2a). Monitor blood pressure before and after administration.
2b). Instruct the client to sit or lie down during administration.
2c). Assess for relief of chest pain.
3a). Monitor for signs of allergic reaction.
3b). Assess for relief of symptoms.
3c). Instruct the client to report any signs of tendon pain or inflammation.","1b). Assess for relief of pain and swelling.
2c). Assess for relief of chest pain.
3a). Monitor for signs of allergic reaction.","Polyethylene glycol is an osmotic laxative used to treat constipation by increasing the amount of water in the intestinal lumen, resulting in bowel movements. The nurse must monitor the client for signs of electrolyte imbalance, assess for relief of constipation, and instruct the client to mix the powder with 8 ounces of water for proper administration.",Medium,3/6,4 mins,Gastrointestinal,IBS Management,Physiological Integrity,Constipation Relief,Multiple Choice,,"Nurses Note: 0730, Client with severe ankle pain after a sports injury.","Vital Signs: Blood pressure 120/80, Pulse 84.",Orders: Naproxen for pain and swelling.,Client Teaching: Take with food to prevent gastric irritation.,Safety: Monitor for signs of gastrointestinal bleeding.,close_drop_down_2
The following scenario applies to the next 1 items,"0800: Client reports fever, chills, and body aches for the past three days. She has a history of seasonal allergies. Upon assessment, the client appears flushed with mild respiratory distress.",Oral temperature 101.0° F (38.3° C) Pulse 92/minute Respirations 20/minute Blood pressure 130/80 Pulse oximetry reading 95% on room air,"CBC, BMP Influenza test stat Acetaminophen 650 mg PO every 6 hours PRN fever Oseltamivir 75 mg PO BID for 5 days",The nurse prepares to administer oseltamivir as prescribed.,Select the appropriate nursing interventions and considerations for administering oseltamivir.,1. Polyethylene Glycol; 2. Loperamide; 3. CBC;,"1a) Laxative
1b) Antacid
1c) Diuretic
2a) Antidiarrheal
2b) Antiemetic
2c) Laxative
3a) Diagnostic test
3b) Screening test
3c) Monitoring tool","1a). Monitor for signs of extrapyramidal symptoms.
1b). Assess for improvement in agitation.
1c). Instruct the client to report any signs of tardive dyskinesia.
2a). Monitor for signs of hypotension.
2b). Assess for relief of urinary symptoms.
2c). Instruct the client to take the medication 30 minutes after the same meal each day.
3a). Monitor for signs of gastrointestinal discomfort.
3b). Assess for improvement in hemoglobin and hematocrit levels.
3c). Instruct the client to take the medication with vitamin C to enhance absorption.","1c). Instruct the client to report any signs of tardive dyskinesia.
2b). Assess for relief of urinary symptoms.
3a). Monitor for signs of gastrointestinal discomfort.","Oseltamivir is an antiviral medication used to treat and prevent influenza by inhibiting the neuraminidase enzyme, preventing the release of new viral particles. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for relief of symptoms, and instruct the client to complete the full course of medication to prevent the development of resistant viruses.",Medium,4/6,5 mins,Respiratory,Influenza Management,Physiological Integrity,Infection Control,Multiple Choice,,"Nurses Note: 1100, Client with abdominal pain and diarrhea",history of IBS.,"Vital Signs: Blood pressure 120/70, Pulse 88.",Orders: Polyethylene glycol for constipation.,Client Teaching: Mix with 8 ounces of water.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client reports severe headache, dizziness, and nausea. He has a history of hypertension and is on lisinopril. Upon assessment, the client appears in mild distress with elevated blood pressure.",Oral temperature 98.6° F (37° C) Pulse 88/minute Respirations 18/minute Blood pressure 160/100 Pulse oximetry reading 98% on room air,"CBC, BMP Lisinopril 10 mg PO daily Amlodipine 5 mg PO daily Acetaminophen 650 mg PO every 6 hours PRN headache",The nurse prepares to administer amlodipine as prescribed.,Select the appropriate nursing interventions and considerations for administering amlodipine.,1. Oseltamivir; 2. Acetaminophen; 3. Influenza Test;,"1a) Antiviral
1b) Antibiotic
1c) Antifungal
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Diagnostic test
3b) Screening test
3c) Monitoring tool
","1a). Monitor for signs of improved breathing.
1b). Assess for relief of allergic symptoms.
1c). Instruct the client to seek emergency care if symptoms worsen.
2a). Monitor for signs of liver toxicity.
2b). Assess for relief of pain and swelling.
2c). Instruct the client not to exceed the recommended daily dose.
3a). Monitor for signs of gastrointestinal bleeding.
3b). Assess for relief of symptoms.
3c). Instruct the client to take the medication before meals.","1c). Instruct the client to seek emergency care if symptoms worsen.
2b). Assess for relief of pain and swelling.
3a). Monitor for signs of gastrointestinal bleeding.","Amlodipine is a calcium channel blocker used to treat hypertension by relaxing the blood vessels, reducing blood pressure. The nurse must monitor the client for signs of hypotension, assess for relief of symptoms, and instruct the client to take the medication at the same time each day to ensure consistent blood levels.",Medium,3/6,4 mins,Cardiovascular,Hypertension Management,Safe and Effective Care Environment,Blood Pressure Management,Multiple Choice,,"Nurses Note: 0800, Client with fever and body aches",history of seasonal allergies.,"Vital Signs: Blood pressure 130/80, Pulse 92.",Orders: Oseltamivir for influenza.,Client Teaching: Complete the full course of medication.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports severe abdominal pain, nausea, and vomiting. He has a history of peptic ulcer disease and is on omeprazole. Upon assessment, the client appears in distress with guarding and tenderness in the epigastric region.",Oral temperature 99.0° F (37.2° C) Pulse 90/minute Respirations 20/minute Blood pressure 130/80 Pulse oximetry reading 97% on room air,"Endoscopy stat CBC, BMP Omeprazole 20 mg PO BID Ondansetron 4 mg IV every 6 hours PRN nausea",The nurse prepares to administer ondansetron as prescribed.,Select the appropriate nursing interventions and considerations for administering ondansetron.,1. Amlodipine; 2. Lisinopril; 3. Acetaminophen;,"1a) Calcium channel blocker
1b) Beta-blocker
1c) ACE inhibitor
2a) ACE inhibitor
2b) Beta-blocker
2c) Calcium channel blocker
3a) Analgesic
3b) Antipyretic
3c) NSAID","1a). Monitor for signs of chest pain.
1b). Assess for relief of headache.
1c). Instruct the client to report any signs of tingling or numbness.
2a). Monitor for signs of gastrointestinal upset.
2b). Assess for relief of joint pain and swelling.
2c). Instruct the client to take the medication with food.
3a). Monitor for signs of bleeding.
3b). Assess for improvement in respiratory status.
3c). Instruct the client to avoid activities that increase the risk of bleeding.","1b). Assess for relief of headache.
2a). Monitor for signs of gastrointestinal upset.
3c). Instruct the client to avoid activities that increase the risk of bleeding.","Ondansetron is an antiemetic used to prevent nausea and vomiting by blocking serotonin receptors in the chemoreceptor trigger zone. The nurse must monitor the client for signs of headache and dizziness, assess for relief of nausea and vomiting, and instruct the client to report any signs of irregular heartbeat.",Medium,3/6,4 mins,Gastrointestinal,Peptic Ulcer Disease Management,Safe and Effective Care Environment,Symptom Relief,Multiple Choice,,"Nurses Note: 0900, Client with severe headache and elevated blood pressure",history of hypertension.,"Vital Signs: Blood pressure 160/100, Pulse 88.",Orders: Amlodipine for hypertension.,Client Teaching: Take at the same time each day.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client presents with complaints of severe headache, fever, and photophobia. He has a history of meningitis. Upon assessment, the client appears in distress with nuchal rigidity and a positive Brudzinski sign.",Oral temperature 101.5° F (38.6° C) Pulse 100/minute Respirations 22/minute Blood pressure 130/80 Pulse oximetry reading 96% on room air,"Lumbar puncture stat CBC, BMP IV fluids: 0.9% Normal Saline at 125 mL/hr Ceftriaxone 2 grams IV every 12 hours Acetaminophen 650 mg PO every 6 hours PRN fever",The nurse prepares to administer ceftriaxone as prescribed.,Select the appropriate nursing interventions and considerations for administering ceftriaxone.,1. Ondansetron; 2. Omeprazole; 3. Endoscopy;,"1a) Antiemetic
1b) Antihistamine
1c) Analgesic
2a) Proton pump inhibitor
2b) Antacid
2c) Antiemetic
3a) Diagnostic procedure
3b) Therapeutic procedure
3c) Screening test","1a). Monitor for signs of drowsiness.
1b). Assess for relief of muscle spasms.
1c). Instruct the client to avoid alcohol and other CNS depressants.
2a). Monitor for signs of electrolyte imbalance.
2b). Assess for relief of constipation.
2c). Instruct the client to mix the powder with 8 ounces of water.
3a). Monitor for signs of allergic reaction.
3b). Assess for improvement in symptoms.
3c). Instruct the client to complete the full course of antibiotics.","1c). Instruct the client to avoid alcohol and other CNS depressants.
2b). Assess for relief of constipation.
3b). Assess for improvement in symptoms.","Ceftriaxone is a cephalosporin antibiotic used to treat bacterial infections by inhibiting cell wall synthesis. The nurse must monitor the client for signs of allergic reaction, such as rash and difficulty breathing, assess for improvement in symptoms, and instruct the client to complete the full course of antibiotics to prevent the development of resistant bacteria.",Medium,4/6,5 mins,Neurological,Meningitis Management,Safe and Effective Care Environment,Infection Control,Multiple Choice,,"Nurses Note: 1100, Client with severe abdominal pain",history of peptic ulcer disease.,"Vital Signs: Blood pressure 130/80, Pulse 90.",Orders: Ondansetron for nausea.,Client Teaching: Report any signs of irregular heartbeat.,close_drop_down_2
The following scenario applies to the next 1 items,"1000: Client reports severe pain and swelling in the right knee after a fall. He denies any previous injuries to the knee. Upon assessment, the right knee is swollen, tender, and has limited range of motion.",Oral temperature 98.6° F (37° C) Pulse 84/minute Respirations 16/minute Blood pressure 120/80 Pulse oximetry reading 98% on room air,"X-ray of the right knee stat CBC, BMP Acetaminophen 650 mg PO every 6 hours PRN pain Ibuprofen 400 mg PO every 6 hours PRN swelling",The nurse prepares to administer ibuprofen as prescribed.,Select the appropriate nursing interventions and considerations for administering ibuprofen.,1. Ceftriaxone; 2. Acetaminophen; 3. IV Fluids;,"1a) Antibiotic
1b) Antiviral
1c) Antifungal
2a) Analgesic
2b) Antipyretic
2c) NSAID
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor for signs of eye irritation.
1b). Assess for improvement in intraocular pressure.
1c). Instruct the client to administer the eye drops in the evening.
2a). Monitor for signs of respiratory depression.
2b). Assess for relief of pain.
2c). Instruct the client to report any signs of confusion or agitation.
3a). Monitor for signs of allergic reaction.
3b). Assess for improvement in symptoms.
3c). Instruct the client to complete the full course of antibiotics.","1b). Assess for improvement in intraocular pressure.
2c). Instruct the client to report any signs of confusion or agitation.
3a). Monitor for signs of allergic reaction.","Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to manage pain and inflammation by inhibiting prostaglandin synthesis. The nurse must monitor the client for signs of gastrointestinal bleeding, such as tarry stools and abdominal pain, and assess for relief of pain and swelling. Ibuprofen should be taken with food to reduce gastric irritation.",Medium,3/6,4 mins,Musculoskeletal,Pain and Swelling Management,Safe and Effective Care Environment,Pain Management,Multiple Choice,,"Nurses Note: 0730, Client with severe headache and fever",history of meningitis.,"Vital Signs: Blood pressure 130/80, Pulse 100.",Orders: Ceftriaxone for bacterial infection.,Client Teaching: Complete the full course of antibiotics.,close_drop_down_2
